region,year,K,L,E,Y,CO2
Anhui,2013,46184.375,4275.9,116.96388394,14649.664,368985280.0
Anhui,2014,56383.246,4311.0,120.11021965,15997.462,374358940.0
Anhui,2015,67765.28,4342.1,123.31966341,17391.113,373214140.0
Beijing,2013,24637.605,1141.0,67.23895033,9249.393,84418936.0
Beijing,2014,26473.578,1156.7,68.31226032,9924.599,81342600.0
Beijing,2015,28604.693,1186.1,68.52549504,10609.3955,71104664.0
Fujian,2013,47213.582,2555.86,111.89905477,17790.016,229565360.0
Fujian,2014,56792.855,2648.51,121.09716635,19551.227,247692380.0
Fujian,2015,68152.83,2768.41,121.79970889,21310.838,230969980.0
Gansu,2013,14177.342,1504.97,72.86722524,3989.3613,164001090.0
Gansu,2014,17613.45,1519.86,75.21446815,4343.836,163835000.0
Gansu,2015,21354.088,1535.69,75.22853128,4694.831,160582700.0
Guangdong,2013,77582.1,6117.68,284.79697908,42364.203,522797900.0
Guangdong,2014,87782.39,6183.23,295.9326156,45653.188,520463100.0
Guangdong,2015,99965.13,6219.3063,301.45485499,49303.434,520620220.0
Guangxi,2013,33847.25,2782.26,91.00373466,10097.913,195647900.0
Guangxi,2014,40525.24,2796.0,95.15337798,10956.508,187419940.0
Guangxi,2015,48411.035,2820.0,97.60653584,11843.985,174818830.0
Guizhou,2013,17497.523,1864.21,92.98536745,4417.817,259845700.0
Guizhou,2014,21934.568,1909.69,97.0877774,4894.9414,249578200.0
Guizhou,2015,27363.086,1946.65,99.48479091,5418.7,242366620.0
Hainan,2013,6917.9946,514.56,17.20330812,2132.643,34364560.0
Hainan,2014,8322.969,543.1,18.19926891,2313.9177,37348360.0
Hainan,2015,9824.055,555.77,19.37770657,2494.4033,41229360.0
Hebei,2013,64201.473,4183.93,296.64377,20422.635,773640700.0
Hebei,2014,75793.625,4202.66,293.20211855,21750.105,737206900.0
Hebei,2015,88480.555,4212.5,293.95359232,23229.113,722886800.0
Henan,2013,73409.85,6386.5747,219.09088852,22135.967,519503420.0
Henan,2014,87049.48,6520.0323,228.8992695,24097.082,531061900.0
Henan,2015,103240.6,6636.0,231.61158796,26097.139,526575230.0
Heilongjiang,2013,31037.56,2060.4,118.53341089,13277.119,305357570.0
Heilongjiang,2014,34453.62,2079.7,119.54903,14021.873,312470080.0
Heilongjiang,2015,37813.586,2034.5,121.26193347,14815.413,313675900.0
Hubei,2013,49800.48,3692.0,157.03128597,19571.412,317830600.0
Hubei,2014,60236.406,3687.5,163.20258705,21465.924,320040100.0
Hubei,2015,72166.71,3658.0,164.03729965,23365.658,315785440.0
Hunan,2013,44394.598,4036.45,149.18513446,16799.71,276992030.0
Hunan,2014,53325.227,4044.13,153.16837428,18391.113,271368300.0
Hunan,2015,63679.965,3980.3,154.68614802,19954.357,286894400.0
Jilin,2013,31396.107,1415.43,86.45400345,8532.105,245277600.0
Jilin,2014,35843.516,1447.17,85.59793967,9086.692,242752160.0
Jilin,2015,40972.71,1480.6,81.41893188,9659.154,227961380.0
Jiangsu,2013,101458.86,4759.89,292.05378352,41880.555,702905000.0
Jiangsu,2014,117767.164,4760.83,298.63032944,45524.164,688494460.0
Jiangsu,2015,136306.98,4758.5,302.35301222,49408.832,700286850.0
Jiangxi,2013,32133.334,2588.7,75.82943777,9562.043,176078020.0
Jiangxi,2014,38595.367,2603.3,80.55361997,10489.561,179788930.0
Jiangxi,2015,46259.656,2615.8,84.40337559,11444.11,188664640.0
Liaoning,2013,65338.035,2518.8756,217.20845797,20008.121,556490700.0
Liaoning,2014,74912.91,2562.2337,218.03379825,21168.594,558395100.0
Liaoning,2015,79084.22,2409.8949,216.67245732,21803.65,541549440.0
Neimenggu,2013,35257.137,1408.2,176.81372426,9804.267,715595460.0
Neimenggu,2014,42279.754,1485.4,183.09058437,10568.95,732009000.0
Neimenggu,2015,46296.88,1463.7,189.27072329,11382.263,733176060.0
Ningxia,2013,6457.4717,351.3,47.80500983,1147.6747,159331520.0
Ningxia,2014,7790.8945,357.2,49.46099126,1239.4899,163624800.0
Ningxia,2015,9249.516,362.2,54.04698956,1338.696,169508180.0
Qinghai,2013,5596.82,314.21,37.68161619,1199.3721,40233412.0
Qinghai,2014,6869.695,317.3,39.91700087,1309.7144,40820750.0
Qinghai,2015,8272.646,321.41,41.34112994,1417.1108,43238868.0
Shandong,2013,97815.1,6580.4,353.57586,40918.598,921415600.0
Shandong,2014,113841.51,6606.5,365.10986331,44478.516,948612300.0
Shandong,2015,132475.72,6632.5,379.4539548,48014.957,1004110140.0
Shanxi,2013,28143.4,1844.2,197.61451626,7874.171,667992300.0
Shanxi,2014,33389.23,1862.29,198.62757406,8260.005,686190500.0
Shanxi,2015,39393.562,1872.76,193.83528533,8516.065,641031230.0
Shaanxi,2013,35340.94,2058.0,106.10481562,8369.342,317155970.0
Shaanxi,2014,42459.324,2067.0,112.22458563,9181.168,322892480.0
Shaanxi,2015,49825.87,2071.0,117.15848798,9902.293,323906900.0
Shanghai,2013,28806.416,1368.91,113.45689409,16902.867,217540800.0
Shanghai,2014,30001.926,1365.63,110.84625838,18086.068,197589310.0
Shanghai,2015,31450.855,1361.51,113.87440713,19341.242,199135040.0
Sichuan,2013,55786.477,4817.31,192.12009128,19159.023,305286720.0
Sichuan,2014,65251.363,4833.0,198.78660729,20787.541,304876200.0
Sichuan,2015,75526.55,4847.01,198.8810112,22429.756,281828860.0
Tianjin,2013,27248.924,847.46,78.81832894,9976.436,169860700.0
Tianjin,2014,31686.268,877.21,81.45059463,10977.671,164893310.0
Tianjin,2015,36573.766,896.8,82.60130878,11999.044,156433150.0
Xinjiang,2013,18935.328,1096.59,136.31794865,4847.53,308844740.0
Xinjiang,2014,23118.22,1135.24,149.26083402,5332.2827,340305800.0
Xinjiang,2015,27874.615,1195.06,156.51197814,5801.524,374296580.0
Yunnan,2013,24271.342,2912.36,100.72086615,7860.868,216292290.0
Yunnan,2014,29154.271,2962.25,104.54832605,8497.599,197553300.0
Yunnan,2015,34895.836,2942.49,103.5656251,9236.89,179381740.0
Zhejiang,2013,59991.06,3708.73,186.40161291,25709.883,403778080.0
Zhejiang,2014,69164.58,3714.14,188.2642294,27670.107,394616160.0
Zhejiang,2015,79787.05,3733.65,196.10472505,29872.316,399887420.0
Chongqing,2013,29107.795,1683.51,80.49304535,8549.801,140163100.0
Chongqing,2014,34307.117,1696.94,85.92734001,9481.7295,143705330.0
Chongqing,2015,40524.285,1707.37,89.33763887,10524.72,144453490.0
