section,d,bf,tf,bf_bottom,tf_bottom,tw,r,A,J,Iy,Ix,Alpha,Cy,Cx,Iw,Zy,Zx
W4x13,105.664,103.124,8.763,103.124,8.763,7.112,6.35,2470.9628,62434.71384,1606653.302816,4703415.10928,0.0,0.0,0.0,3759502131.561343,47850.22688,102910.76192
W5x16,127.254,127.0,9.144,127.0,9.144,6.096,7.62,3038.7036,79083.970864,3125898.006256,8907352.50784,0.0,0.0,0.0,10902556181.527895,75052.75312,157807.42632
W5x19,130.81,127.762,10.922,127.762,10.922,6.858,7.62,3587.0896,133194.056192,3800192.915728,10946886.49328,0.0,0.0,0.0,13668475606.890882,90620.46392,190089.9424
W6x8.5,148.082,100.076,4.953,100.076,4.953,4.318,6.35,1625.8032,12486.942768,828300.536944,6201848.24144,0.0,0.0,0.0,4242866691.333516,25563.81984,93897.87672
W6x9,149.86,100.076,5.461,100.076,5.461,4.318,6.35,1729.0288,16649.257024,915709.13632,6826195.37984,0.0,0.0,0.0,4753084837.759698,28185.75008,102091.40872
W6x12,153.162,101.6,7.112,101.6,7.112,5.842,6.35,2290.318,37460.828304,1244531.962544,9198714.50576,0.0,0.0,0.0,6632835903.540369,38017.98848,136012.6312
W6x15,152.146,152.146,6.604,152.146,6.604,5.842,6.35,2858.0588,41623.14256,3879276.886592,12112334.48496,0.0,0.0,0.0,20542993790.317337,77838.554,176980.2912
W6x16,159.512,102.362,10.287,102.362,10.287,6.604,6.35,3058.0584,91570.913632,1843905.215408,13361028.76176,0.0,0.0,0.0,10258070101.831665,55552.14696,191728.6488
W6x20,157.48,152.908,9.271,152.908,9.271,6.604,6.35,3787.0892,99895.542144,5535877.96048,17231981.01984,0.0,0.0,0.0,30344552919.030838,110121.07008,245805.96
W6x25,162.052,154.432,11.557,154.432,11.557,8.128,6.35,4735.4744,191466.455776,7117557.37776,22226758.12704,0.0,0.0,0.0,40280379981.01439,140273.26784,309715.5096
W8x10,200.406,100.076,5.207,100.076,5.207,4.318,7.62,1909.6736,16649.257024,869923.679504,12819927.90848,0.0,0.0,0.0,8297758276.088964,27202.52624,145353.25768
W8x13,202.946,101.6,6.477,101.6,6.477,5.842,7.62,2477.4144,37460.828304,1136311.791888,16482764.45376,0.0,0.0,0.0,10956263354.835913,35232.1876,186812.5296
W8x15,205.994,101.981,8.001,101.981,8.001,6.223,7.62,2864.5104,58272.399584,1419349.161296,19979108.4288,0.0,0.0,0.0,13910157886.776968,43753.46088,222864.0704
W8x18,206.756,133.35,8.382,133.35,8.382,5.842,7.62,3393.5416,70759.342352,3317364.462032,25764725.24464,0.0,0.0,0.0,32761375717.891705,76363.71824,278580.088
W8x21,210.312,133.858,10.16,133.858,10.16,6.35,7.62,3974.1856,116544.799168,4066581.028112,31342226.34768,0.0,0.0,0.0,40817451714.09458,93242.39416,334296.1056
W8x24,201.422,165.1,10.16,165.1,10.16,6.223,10.0076,4567.7328,145680.99896,7617035.08848,34422338.89712,0.0,0.0,0.0,69550789433.88484,140437.13848,378541.1784
W8x28,204.724,166.116,11.811,166.116,11.811,7.239,10.0076,5322.57,224764.969824,9032221.93552,40790679.7088,0.0,0.0,0.0,83783190360.50993,165509.3464,445728.1408
W8x31,203.2,203.2,11.049,203.2,11.049,7.239,10.0076,5890.3108,224764.969824,15442185.88976,45785456.816,0.0,0.0,0.0,142324009266.25085,231057.6024,498166.7456
W8x35,206.248,203.708,12.573,203.708,12.573,7.874,10.0076,6645.148,320498.197712,17731458.73056,52861391.0512,0.0,0.0,0.0,166223701388.31937,263831.7304,568631.1208
W8x40,209.55,204.978,14.224,204.978,14.224,9.144,10.0076,7548.372,466179.196672,20436962.99696,60769788.1376,0.0,0.0,0.0,194957039108.10965,303160.684,652205.1472
W8x48,215.9,205.994,17.399,205.994,17.399,10.16,10.033,9096.756,815813.594176,25348493.81904,76586582.3104,0.0,0.0,0.0,250006891748.8293,375263.7656,802966.136
W8x58,222.25,208.788,20.574,208.788,20.574,12.954,9.906,11032.236,1386050.647248,31258980.06256,94900765.0368,0.0,0.0,0.0,316872322517.3132,457199.0856,979946.4272
W8x67,228.6,210.312,23.749,210.312,23.749,14.478,10.033,12709.652,2101968.69928,36878104.30816,113214947.7632,0.0,0.0,0.0,386691647817.73816,535856.9928,1148733.1864
W10x12,250.698,100.584,5.334,100.584,5.334,4.826,7.62,2283.8664,20811.57128,907384.507808,22393250.69728,0.0,0.0,0.0,13668475606.890882,28513.49136,206477.0064
W10x15,253.746,101.6,6.858,101.6,6.858,5.842,7.62,2845.1556,41623.14256,1202908.819984,28678345.22384,0.0,0.0,0.0,18340999684.68855,37690.2472,262193.024
W10x17,256.54,101.854,8.382,101.854,8.382,6.096,7.62,3219.3484,66597.028096,1481783.875136,34089353.75664,0.0,0.0,0.0,22852402242.56216,45883.7792,306438.0968
W10x19,259.08,102.108,10.033,102.108,10.033,6.35,7.62,3625.7992,95733.227888,1785632.815824,40083086.28528,0.0,0.0,0.0,27927730120.169975,54896.6644,353960.5824
W10x22,259.08,146.05,9.144,146.05,9.144,6.096,7.62,4187.0884,99895.542144,4745038.25184,49115308.2208,0.0,0.0,0.0,73847363298.52638,99961.0904,426063.664
W10x26,261.62,146.558,11.176,146.558,11.176,6.604,7.62,4909.6676,166492.57024,5868863.10096,59937325.2864,0.0,0.0,0.0,92644873956.3331,122902.98,512915.1032
W10x30,266.7,147.574,12.954,147.574,12.954,7.62,7.62,5703.2144,258063.483872,6951064.80752,70759342.352,0.0,0.0,0.0,111173848747.59972,144861.64576,599766.5424
W10x33,247.142,202.184,11.049,202.184,11.049,7.366,12.7,6264.5036,241414.226848,15234070.17696,71175573.7776,0.0,0.0,0.0,212411870433.21588,229418.896,635818.0832
W10x39,251.968,202.946,13.462,202.946,13.462,8.001,12.7,7419.34,407906.797088,18730414.152,86992367.9504,0.0,0.0,0.0,266387579607.77515,281857.5008,766914.5952
W10x45,256.54,203.708,15.748,203.708,15.748,8.89,12.7,8580.628,628509.452656,22226758.12704,103225393.5488,0.0,0.0,0.0,322243039848.1151,332657.3992,899649.8136
W10x49,254.0,254.0,14.224,254.0,14.224,8.636,12.7,9290.304,578561.681584,38876015.15104,113214947.7632,0.0,0.0,0.0,555869243737.9985,463753.9112,989778.6656
W10x54,256.54,254.0,15.621,254.0,15.621,9.398,12.827,10193.528,757541.194592,42871836.8368,126118121.9568,0.0,0.0,0.0,623003210373.0226,512915.1032,1091378.4624
W10x60,259.08,256.54,17.272,256.54,17.272,10.668,12.7,11419.332,1032253.935488,48282845.3696,141934916.1296,0.0,0.0,0.0,708934687665.8533,573547.24,1222474.9744
W10x68,264.16,256.54,19.558,256.54,19.558,11.938,12.7,12838.684,1481783.875136,55775011.0304,163995181.6864,0.0,0.0,0.0,832461186274.2974,657121.2664,1397816.5592
W10x77,269.24,259.08,22.098,259.08,22.098,13.462,12.7,14645.132,2126942.584816,64099639.5424,189385298.648,0.0,0.0,0.0,974785195540.5482,752166.2376,1599377.4464
W10x88,274.32,261.62,25.146,261.62,25.146,15.367,12.7,16774.16,3134222.634768,74505425.1824,222267581.2704,0.0,0.0,0.0,1162760302118.6155,870153.0984,1851738.232
W10x100,281.94,261.62,28.448,261.62,28.448,17.272,12.7,18903.188,4536922.53904,86159905.0992,259312178.1488,0.0,0.0,0.0,1382959712681.494,999610.904,2130318.32
W10x112,289.56,264.16,31.75,264.16,31.75,19.177,12.7,21225.764,6285094.52656,98230616.4416,298021700.7296,0.0,0.0,0.0,1616585916571.3774,1133984.8288,2408898.408
W12x14,302.26,100.838,5.715,100.838,5.715,5.08,7.62,2683.8656,29136.199792,982306.164416,36878104.30816,0.0,0.0,0.0,21590283669.823715,31135.4216,285134.9136
W12x16,304.8,101.346,6.731,101.346,6.731,5.588,7.62,3038.7036,41623.14256,1173772.620192,42871836.8368,0.0,0.0,0.0,26021125467.7353,37034.76464,329379.9864
W12x19,309.88,101.854,8.89,101.854,8.89,5.969,7.62,3593.5412,74921.656608,1565030.160256,54110085.328,0.0,0.0,0.0,35178198516.75256,48833.45072,404760.4808
W12x22,312.42,102.362,10.795,102.362,10.795,6.604,7.62,4180.6368,120707.113424,1939638.443296,64932102.3936,0.0,0.0,0.0,44039882112.57573,59976.65424,480140.9752
W12x26,309.88,164.846,9.652,164.846,9.652,5.842,7.62,4935.474,124869.42768,7200803.66288,84911210.8224,0.0,0.0,0.0,163001270989.83823,133882.31288,609598.7808
W12x30,312.42,165.608,11.176,165.608,11.176,6.604,7.62,5670.9564,191466.455776,8449497.93968,99063079.2928,0.0,0.0,0.0,193345823908.86908,156660.33184,706282.4584
W12x35,317.5,166.624,13.208,166.624,13.208,7.62,7.62,6645.148,308011.254944,10197669.9272,118625956.296,0.0,0.0,0.0,236043026688.74432,188451.236,839017.6768
W12x40,302.26,203.454,13.081,203.454,13.081,7.493,12.827,7548.372,378770.597296,18355805.86896,127783047.6592,0.0,0.0,0.0,386691647817.73816,275302.6752,934062.648
W12x45,307.34,204.47,14.605,204.47,14.605,8.509,12.827,8451.596,524451.596256,20811571.28,144848536.1088,0.0,0.0,0.0,443084179791.15826,311354.216,1052049.5088
W12x50,309.88,205.232,16.256,205.232,16.256,9.398,12.7,9419.336,711755.737776,23433829.26128,162746487.4096,0.0,0.0,0.0,504847429095.3803,349044.4632,1178229.9016
W12x53,307.34,254.0,14.605,254.0,14.605,8.763,15.367,10064.496,657645.652448,39874970.57248,176898355.88,0.0,0.0,0.0,848573338266.7031,476863.5624,1276552.2856
W12x58,309.88,254.0,16.256,254.0,16.256,9.144,15.24,10967.72,874085.99376,44536762.5392,197709927.16,0.0,0.0,0.0,958673043548.1425,532579.58,1415842.3296
W12x65,307.34,304.8,15.367,304.8,15.367,9.906,15.113,12322.556,907384.507808,72424268.0544,221851349.8448,0.0,0.0,0.0,1552137308601.7544,722669.5224,1586267.7952
W12x72,312.42,304.8,17.018,304.8,17.018,10.922,15.24,13612.876,1219558.077008,81165127.992,248490161.0832,0.0,0.0,0.0,1756224567172.2273,806243.5488,1769802.912
W12x79,314.96,307.34,18.669,307.34,18.669,11.938,15.113,14967.712,1598328.674304,89905987.9296,275545203.7472,0.0,0.0,0.0,1968367901738.903,889817.5752,1950060.616
W12x87,317.5,307.34,20.574,307.34,20.574,13.081,15.24,16516.096,2122780.27056,100311773.5696,308011254.944,0.0,0.0,0.0,2220791616286.5933,989778.6656,2163092.448
W12x96,322.58,309.88,22.86,309.88,22.86,13.97,15.24,18193.512,2851185.26536,112382484.912,346720777.5248,0.0,0.0,0.0,2526922504142.3027,1106126.82,2408898.408
W12x106,327.66,309.88,25.146,309.88,25.146,15.494,15.24,20128.992,3800192.915728,125285659.1056,388343920.0848,0.0,0.0,0.0,2873333771979.0264,1230668.5064,2687478.496
W12x120,332.74,312.42,28.194,312.42,28.194,18.034,14.986,22709.632,5369385.39024,143599841.832,445367625.392,0.0,0.0,0.0,3329844745097.1895,1399455.2656,3047993.904
W12x136,340.36,314.96,31.75,314.96,31.75,20.066,15.24,25741.884,7700281.3736,165660107.3888,516126967.744,0.0,0.0,0.0,3947477238139.41,1605932.272,3506831.696
W12x152,347.98,317.5,35.56,317.5,35.56,22.098,15.24,28838.652,10738770.78048,188969067.2224,595210938.608,0.0,0.0,0.0,4618816904489.65,1818964.104,3982056.552
W12x170,355.6,320.04,39.624,320.04,39.624,24.384,15.24,32258.0,14817838.75136,215191647.0352,686781852.24,0.0,0.0,0.0,5397570917455.928,2064770.064,4506442.6
W12x190,365.76,322.58,44.196,322.58,44.196,26.924,14.986,36128.96,20312093.56928,245160309.6784,786677394.384,0.0,0.0,0.0,6337446450346.264,2343350.152,5096376.904
W12x210,373.38,325.12,48.26,325.12,48.26,29.972,15.24,39870.888,26930173.23632,276377666.5984,890735250.784,0.0,0.0,0.0,7304175569890.609,2605543.176,5702698.272
W12x230,383.54,327.66,52.578,327.66,52.578,32.766,15.24,43677.332,34880193.46528,308843717.7952,1007280049.952,0.0,0.0,0.0,8378319036050.993,2900510.328,6325406.704
W12x252,391.16,330.2,57.15,330.2,57.15,35.56,15.24,47806.356,44952993.9648,344639620.3968,1132149477.632,0.0,0.0,0.0,9613584022135.434,3211864.544,7013663.392
W12x279,403.86,332.74,62.738,332.74,62.738,38.862,15.24,52838.604,59521093.8608,390008845.7872,1294479733.616,0.0,0.0,0.0,11278506394684.03,3605154.08,7882177.784
W12x305,414.02,335.28,68.834,335.28,68.834,41.402,14.986,57741.82,77002813.736,437042996.88,1477621560.88,0.0,0.0,0.0,13050843113848.662,3998443.616,8799853.368
W12x336,426.72,340.36,75.184,340.36,75.184,45.212,14.986,63806.324,101144236.4208,495315396.464,1689899587.936,0.0,0.0,0.0,15306544392785.467,4490055.536,9881399.592
W14x22,347.98,127.0,8.509,127.0,8.509,5.842,10.16,4187.0884,87408.599376,2913619.9792,82830053.6944,0.0,0.0,0.0,84320262093.59012,71939.21096,544050.5248
W14x26,353.06,127.762,10.668,127.762,10.668,6.477,10.16,4961.2804,149843.313216,3708622.002096,101976699.272,0.0,0.0,0.0,108757025948.73885,90784.33456,658759.9728
W14x30,350.52,170.942,9.779,170.942,9.779,6.858,10.16,5709.666,158167.941728,8158135.94176,121123344.8496,0.0,0.0,0.0,238191313621.0651,147319.70536,775108.1272
W14x34,355.6,171.45,11.557,171.45,11.557,7.239,10.16,6451.6,237251.912592,9698192.21648,141518684.704,0.0,0.0,0.0,287333377197.90265,173702.8784,894733.6944
W14x38,358.14,171.958,13.081,171.958,13.081,7.874,10.16,7225.792,332985.14048,11113379.06352,160249098.856,0.0,0.0,0.0,330299115844.318,198283.4744,1007804.436
W14x43,347.98,203.2,13.462,203.2,13.462,7.747,14.986,8129.016,437042.99688,18813660.43712,178147050.1568,0.0,0.0,0.0,523644939753.1871,283496.2072,1140539.6544
W14x48,350.52,203.962,15.113,203.962,15.113,8.636,15.113,9096.756,603535.56712,21394295.27584,201456009.9904,0.0,0.0,0.0,601520341049.8148,321186.4544,1284745.8176
W14x53,353.06,204.724,16.764,204.724,16.764,9.398,14.986,10064.496,807488.965664,24016553.25712,225181201.2496,0.0,0.0,0.0,682081101011.8436,360515.408,1427313.2744
W14x61,353.06,254.0,16.383,254.0,16.383,9.525,15.113,11548.364,911546.822064,44536762.5392,266388112.384,0.0,0.0,0.0,1264803931403.8518,537495.6992,1671480.528
W14x68,355.6,254.0,18.288,254.0,18.288,10.541,14.986,12903.2,1252856.591056,50364002.4976,300519089.2832,0.0,0.0,0.0,1444722961985.716,604682.6616,1884512.36
W14x74,360.68,256.54,19.939,256.54,19.939,11.43,15.113,14064.488,1610815.617072,55775011.0304,330903983.352,0.0,0.0,0.0,1608529840575.1746,663676.092,2064770.064
W14x82,363.22,256.54,21.717,256.54,21.717,12.954,15.113,15483.84,2110293.327792,61602250.9888,366699885.9536,0.0,0.0,0.0,1801875664484.0437,734140.4672,2277801.896
W14x90,355.6,368.3,18.034,368.3,18.034,11.176,15.24,17096.74,1689899.587936,150675776.0672,415815194.1744,0.0,0.0,0.0,4296573864641.5347,1238862.0384,2572769.048
W14x99,360.68,370.84,19.812,370.84,19.812,12.319,15.24,18774.156,2235162.755472,167325033.0912,462016882.416,0.0,0.0,0.0,4833645597721.727,1369958.5504,2834962.072
W14x109,363.22,370.84,21.844,370.84,21.844,13.335,15.24,20645.12,2963567.750272,186055447.2432,516126967.744,0.0,0.0,0.0,5424424504109.9375,1519080.8328,3146316.288
W14x120,368.3,373.38,23.876,373.38,23.876,14.986,15.24,22774.148,3900088.457872,206034555.672,574399367.328,0.0,0.0,0.0,6095764170460.178,1671480.528,3474057.568
W14x132,373.38,373.38,26.162,373.38,26.162,16.383,15.24,25032.208,5119646.53488,228094821.2288,636834081.168,0.0,0.0,0.0,6847664596772.446,1851738.232,3834572.976
W14x145,375.92,393.7,27.686,393.7,27.686,17.272,15.24,27548.332,6326717.66912,281788675.1312,711755737.776,0.0,0.0,0.0,8512586969321.041,2179479.512,4260636.64
W14x159,381.0,396.24,30.226,396.24,30.226,18.923,15.24,30128.972,8199759.08432,311341106.3488,790839708.64,0.0,0.0,0.0,9559876848827.414,2392511.344,4703087.368
W14x176,386.08,398.78,33.274,398.78,33.274,21.082,15.24,33419.288,11030132.7784,348801934.6528,890735250.784,0.0,0.0,0.0,10875702594873.885,2671091.432,5243860.48
W14x193,393.7,398.78,36.576,398.78,36.576,22.606,15.24,36645.088,14484853.61088,387511457.2336,998955421.44,0.0,0.0,0.0,12325796274190.402,2949671.52,5817407.72
W14x211,398.78,401.32,39.624,401.32,39.624,24.892,15.24,39999.92,18563921.58176,428718368.368,1107175592.096,0.0,0.0,0.0,13829597126814.94,3244638.672,6390954.96
W14x233,406.4,403.86,43.688,403.86,43.688,27.178,15.24,44193.46,24765769.8232,478666139.44,1252856591.056,0.0,0.0,0.0,15843616125865.66,3621541.144,7144759.904
W14x257,416.56,406.4,48.006,406.4,48.006,29.972,15.24,48774.096,32923905.76496,536938539.024,1415186847.04,0.0,0.0,0.0,18206731751418.504,4031217.744,7980500.168
W14x283,424.18,408.94,52.578,408.94,52.578,32.766,15.24,53741.828,43288068.2624,599373252.864,1598328674.304,0.0,0.0,0.0,20865236830165.453,4490055.536,8881788.688
W14x311,434.34,411.48,57.404,411.48,57.404,35.814,15.24,58967.624,56607473.8816,670132595.216,1802282072.848,0.0,0.0,0.0,23926545708722.547,4981667.456,9881399.592
W14x342,444.5,416.56,62.738,416.56,62.738,39.116,15.24,65161.16,74089193.7568,753378880.336,2039533985.44,0.0,0.0,0.0,27659194253629.88,5538827.632,11012107.008
W14x370,454.66,419.1,67.564,419.1,67.564,42.164,15.24,70322.44,92403376.4832,828300536.944,2264298955.263999,0.0,0.0,0.0,31150160518651.13,6063213.68,12060879.104
W14x398,464.82,421.64,72.39,421.64,72.39,44.958,14.986,75483.72,113631179.1888,903222193.552,2497388553.599999,0.0,0.0,0.0,34641126783672.375,6587599.728,13126038.264
W14x426,474.98,424.18,77.216,424.18,77.216,47.752,14.986,80645.0,137772601.8736,982306164.416,2747127408.96,0.0,0.0,0.0,38669164781773.81,7111985.776,14240358.616
W14x455,482.6,426.72,81.534,426.72,81.534,51.308,15.24,86451.44,164411413.112,1065552449.536,2992703950.063999,0.0,0.0,0.0,42965738646415.35,7669145.952,15338291.904
W14x500,497.84,431.8,88.9,431.8,88.9,55.626,15.24,94838.52,213942952.7584,1198746505.728,3417260004.175999,0.0,0.0,0.0,50216207042997.94,8554047.408,17206417.2
